figure,provider,dataset,method,metric,value,source
01_answer_ladder_by_dataset.png,or-gemma4-26b,barexam,llm_only,accuracy_pct,80.84,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-gemma4-26b,barexam,rag_simple,accuracy_pct,77.99,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-gemma4-26b,barexam,rag_hyde,accuracy_pct,80.25,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-gemma4-26b,barexam,snap_hyre,accuracy_pct,82.01,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-gemma4-26b,barexam,rag_rewrite,accuracy_pct,80.67,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-gemma4-26b,barexam,golden_passage,accuracy_pct,78.58,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-gemma4-26b,barexam,golden_plus_neighbors,accuracy_pct,80.67,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,barexam,llm_only,accuracy_pct,78.66,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,barexam,rag_simple,accuracy_pct,74.56,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,barexam,rag_hyde,accuracy_pct,80.17,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,barexam,snap_hyre,accuracy_pct,79.75,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,barexam,rag_rewrite,accuracy_pct,77.24,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,barexam,golden_passage,accuracy_pct,79.16,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,groq-llama70b,barexam,golden_plus_neighbors,accuracy_pct,77.82,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-ministral-8b,legalbench_scalr,llm_only,accuracy_pct,67.25,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-ministral-8b,legalbench_scalr,rag_simple,accuracy_pct,67.95,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-ministral-8b,legalbench_scalr,rag_hyde,accuracy_pct,71.10,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-ministral-8b,legalbench_scalr,snap_hyre,accuracy_pct,69.88,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-ministral-8b,legalbench_scalr,rag_rewrite,accuracy_pct,69.88,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-ministral-8b,legalbench_scalr,golden_passage,accuracy_pct,93.17,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-ministral-8b,legalbench_scalr,golden_plus_neighbors,accuracy_pct,77.06,docs/generated/snap_hyre_package/answer_ladder_status.csv
01_answer_ladder_by_dataset.png,or-gemma4-26b,legalbench_scalr,llm_only,accuracy_pct,73.03,docs/generated/snap_hyre_package/answer_ladder_status.csv
