idx,question,answer,answer_aliases,answerable,gold_idx,gold_titles,support_para_idxs,hop_count
2hop__460946_294723,Who is the spouse of the Green performer?,Miquette Giraudy,[],1,"musique_2hop__460946_294723_5,musique_2hop__460946_294723_10","[""Miquette Giraudy"", ""Green (Steve Hillage album)""]","[5, 10]",2
2hop__252311_366220,Who founded the company that distributed the film UHF?,Mike Medavoy,[],1,"musique_2hop__252311_366220_6,musique_2hop__252311_366220_10","[""Mike Medavoy"", ""UHF (film)""]","[6, 10]",2
2hop__701895_752697,What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,[],1,"musique_2hop__701895_752697_3,musique_2hop__701895_752697_11","[""Nuevo Laredo Municipality"", ""Ciudad Deportiva (Nuevo Laredo)""]","[3, 11]",2
2hop__259228_793698,Where is Ulrich Walter's employer headquartered?,Cologne,[],1,"musique_2hop__259228_793698_11,musique_2hop__259228_793698_14","[""Philae (spacecraft)"", ""Ulrich Walter""]","[11, 14]",2
2hop__481349_302087,Which company owns the manufacturer of Learjet 60?,Bombardier Inc.,"[""Bombardier""]",1,"musique_2hop__481349_302087_5,musique_2hop__481349_302087_10","[""List of Bombardier CRJ operators"", ""Learjet 60""]","[5, 10]",2
2hop__697790_864352,Who is the child of Caroline LeRoy's spouse?,Fletcher Webster,[],1,"musique_2hop__697790_864352_0,musique_2hop__697790_864352_10","[""Fletcher Webster"", ""Caroline LeRoy""]","[0, 10]",2
2hop__207476_625987,"Who is the grandmother of Philippe, Duke of Orléans?",Marie de' Medici,[],1,"musique_2hop__207476_625987_8,musique_2hop__207476_625987_14","[""Philippe I, Duke of Orl\u00e9ans"", ""Leonora Dori""]","[8, 14]",2
2hop__390947_232243,What is the goal of the group that European Movement Germany is a member of?,European integration,[],1,"musique_2hop__390947_232243_4,musique_2hop__390947_232243_17","[""Bernd H\u00fcttemann"", ""European Movement International""]","[4, 17]",2
2hop__354635_174222,What company succeeded the owner of Empire Sports Network?,Time Warner Cable,"[""Time Warner""]",1,"musique_2hop__354635_174222_2,musique_2hop__354635_174222_16","[""Empire Sports Network"", ""Windjammer Communications""]","[2, 16]",2
2hop__635187_861533,What province shares a border with the province where Lago District is located?,Cabo Delgado Province,[],1,"musique_2hop__635187_861533_0,musique_2hop__635187_861533_16","[""Niassa Reserve"", ""Lago District""]","[0, 16]",2
2hop__166824_185403,What league does the team that plays in Stadio Ciro Vigorito play for?,Lega Pro Prima Divisione,[],1,"musique_2hop__166824_185403_11,musique_2hop__166824_185403_13","[""Stadio Ciro Vigorito"", ""Carmelo Imbriani""]","[11, 13]",2
2hop__698577_851686,What is a notable work written by the author of The Timothy files?,Anderson Tapes,"[""The Anderson Tapes""]",1,"musique_2hop__698577_851686_3,musique_2hop__698577_851686_15","[""The Timothy Files"", ""The Anderson Tapes (novel)""]","[3, 15]",2
2hop__362107_652514,In which borough was Callum McManaman born?,Knowsley,"[""Metropolitan Borough of Knowsley""]",1,"musique_2hop__362107_652514_17,musique_2hop__362107_652514_18","[""Callum McManaman"", ""Whiston, Merseyside""]","[17, 18]",2
2hop__402530_774333,What other county does the county where Imperial is located share a border with?,Crockett County,[],1,"musique_2hop__402530_774333_12,musique_2hop__402530_774333_17","[""Lancaster Crossing"", ""Imperial, Texas""]","[12, 17]",2
2hop__195917_575657,In what county is William W. Blair's birthplace located?,Orleans County,"[""Orleans County, New York""]",1,"musique_2hop__195917_575657_15,musique_2hop__195917_575657_17","[""William W. Blair"", ""Holley, New York""]","[15, 17]",2
2hop__683835_709167,What award did the author of The Red Tree receive?,Academy Award for Best Animated Short Film,[],1,"musique_2hop__683835_709167_4,musique_2hop__683835_709167_13","[""Passion Pictures"", ""The Red Tree (Shaun Tan)""]","[4, 13]",2
2hop__197470_271394,Where was Tyler MacDuff's child educated?,Blair High School,[],1,"musique_2hop__197470_271394_8,musique_2hop__197470_271394_14","[""Dana MacDuff"", ""Dana MacDuff""]","[8, 14]",2
2hop__458131_174974,Who is the spouse of the Rabbit Hole's producer?,Keith Urban,[],1,"musique_2hop__458131_174974_3,musique_2hop__458131_174974_9","[""Planet Cake"", ""Rabbit Hole (film)""]","[3, 9]",2
2hop__299142_347613,Who is the child of Sigrid Eskilsdotter's child?,Svante Stensson Sture,[],1,"musique_2hop__299142_347613_4,musique_2hop__299142_347613_15","[""Sigrid Sture"", ""Sigrid Eskilsdotter (Ban\u00e9r)""]","[4, 15]",2
2hop__528263_865831,In which county is Kimbrough Memorial Stadium located?,Randall County,"[""Randall County, Texas""]",1,"musique_2hop__528263_865831_4,musique_2hop__528263_865831_16","[""Kimbrough Memorial Stadium"", ""Canyon, Texas""]","[4, 16]",2
2hop__569582_304416,What record label is the performer of Almost Made Ya signed to?,Derrty Entertainment,[],1,"musique_2hop__569582_304416_7,musique_2hop__569582_304416_10","[""Almost Made Ya"", ""Kinfolk (album)""]","[7, 10]",2
2hop__505860_650613,Where was the author of Hannibal and Scipio educated at?,Exeter College,[],1,"musique_2hop__505860_650613_9,musique_2hop__505860_650613_12","[""Thomas Nabbes"", ""Hannibal and Scipio""]","[9, 12]",2
2hop__821197_368148,In which county is Southern Maryland Electric Cooperative headquartered?,Charles County,"[""Charles County, Maryland""]",1,"musique_2hop__821197_368148_3,musique_2hop__821197_368148_7","[""Southern Maryland Electric Cooperative"", ""Hughesville, Maryland""]","[3, 7]",2
2hop__554167_451128,Who is the child of the Victim of Romance performer?,Chynna Phillips,[],1,"musique_2hop__554167_451128_8,musique_2hop__554167_451128_15","[""Wilson Phillips"", ""Victim of Romance""]","[8, 15]",2
2hop__702496_430061,What county was Tim Dubois born in?,McDonald County,"[""McDonald County, Missouri""]",1,"musique_2hop__702496_430061_6,musique_2hop__702496_430061_17","[""Tim DuBois"", ""Southwest City, Missouri""]","[6, 17]",2
2hop__549146_223121,What record label did the person who is part of The Bruce Lee Band start?,Asian Man Records,[],1,"musique_2hop__549146_223121_9,musique_2hop__549146_223121_18","[""The Bruce Lee Band"", ""Asian Man Records""]","[9, 18]",2
2hop__647996_551681,What is another notable work made by the author of Miss Sara Sampson?,Emilia Galotti,[],1,"musique_2hop__647996_551681_15,musique_2hop__647996_551681_17","[""Miss Sara Sampson"", ""Emilia Galotti""]","[15, 17]",2
2hop__673655_316668,What instrument is played by the person from The Blackout All-Stars?,conga,"[""Conga""]",1,"musique_2hop__673655_316668_12,musique_2hop__673655_316668_16","[""The Blackout All-Stars"", ""Midnight Blue (Kenny Burrell album)""]","[12, 16]",2
2hop__574419_270105,What is the seat of the county where Van Hook Township is located?,Stanley,[],1,"musique_2hop__574419_270105_1,musique_2hop__574419_270105_8","[""Mountrail County Courthouse"", ""Van Hook Township, Mountrail County, North Dakota""]","[1, 8]",2
2hop__403712_793210,"Who is the father of Edward Baring, 1st Baron Revelstoke's father?","Sir Francis Baring, 1st Baronet",[],1,"musique_2hop__403712_793210_6,musique_2hop__403712_793210_17","[""Tom Baring"", ""Godfrey Baring""]","[6, 17]",2
2hop__832795_350510,What group was the performer of Be the One a member of?,Jackson 5,[],1,"musique_2hop__832795_350510_8,musique_2hop__832795_350510_17","[""Be the One (album)"", ""Jackie Jackson (album)""]","[8, 17]",2
2hop__744055_408817,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Eddie Argos,[],1,"musique_2hop__744055_408817_2,musique_2hop__744055_408817_8","[""Bang Bang Rock & Roll"", ""Eddie Argos""]","[2, 8]",2
2hop__726717_610238,What is the network which National Cycle Route 57 is part of an example of?,national cycling route network,"[""National cycling route network""]",1,"musique_2hop__726717_610238_12,musique_2hop__726717_610238_14","[""National Cycle Route 57"", ""National Cycle Network""]","[12, 14]",2
2hop__499577_617190,Who is the spouse of the child of Peter Andreas Heiberg?,Johanne Luise Heiberg,[],1,"musique_2hop__499577_617190_11,musique_2hop__499577_617190_16","[""The Crisis and a Crisis in the Life of an Actress"", ""Johan Ludvig Heiberg (poet)""]","[11, 16]",2
2hop__685280_510757,The Unwinding author volunteered for which organisation?,Peace Corps,[],1,"musique_2hop__685280_510757_11,musique_2hop__685280_510757_12","[""The Village of Waiting"", ""The Unwinding""]","[11, 12]",2
2hop__341305_332933,What is the capital of the county that Pine Springs is located in?,Van Horn,[],1,"musique_2hop__341305_332933_4,musique_2hop__341305_332933_6","[""Culberson County-Allamoore Independent School District"", ""Pine Springs, Texas""]","[4, 6]",2
2hop__731228_609866,What district is the headquarter of Julia's House located?,East Dorset,[],1,"musique_2hop__731228_609866_7,musique_2hop__731228_609866_10","[""Julia's House"", ""Corfe Mullen""]","[7, 10]",2
2hop__693444_220151,Who is the spouse of Young Man Luther's author?,Joan Erikson,[],1,"musique_2hop__693444_220151_12,musique_2hop__693444_220151_19","[""Young Man Luther"", ""Erikson's stages of psychosocial development""]","[12, 19]",2
2hop__235471_565925,What record label did the performer of The Place and the Time belong to?,Columbia Records,[],1,"musique_2hop__235471_565925_0,musique_2hop__235471_565925_6","[""The Place and the Time"", ""Great Grape""]","[0, 6]",2
