idx,question,answer,type,level,gold_idx,gold_titles,answer_aliases
5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,yes,comparison,hard,"hotpotqa_5a8b57f25542995d1e6f1371_1,hotpotqa_5a8b57f25542995d1e6f1371_4","[""Scott Derrickson"", ""Ed Wood""]",[]
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,bridge,hard,"hotpotqa_5a8c7595554299585d9e36b6_6,hotpotqa_5a8c7595554299585d9e36b6_1","[""Kiss and Tell (1945 film)"", ""Shirley Temple""]",[]
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,bridge,hard,"hotpotqa_5a85ea095542994775f606a8_2,hotpotqa_5a85ea095542994775f606a8_8","[""The Hork-Bajir Chronicles"", ""Animorphs""]",[]
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,comparison,hard,"hotpotqa_5adbf0a255429947ff17385a_5,hotpotqa_5adbf0a255429947ff17385a_6","[""Laleli Mosque"", ""Esma Sultan Mansion""]",[]
5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",bridge,hard,"hotpotqa_5a8e3ea95542995a26add48d_9,hotpotqa_5a8e3ea95542995a26add48d_3","[""Big Stone Gap (film)"", ""Adriana Trigiani""]",[]
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,bridge,hard,"hotpotqa_5abd94525542992ac4f382d2_2,hotpotqa_5abd94525542992ac4f382d2_4","[""2014 S/S"", ""Winner (band)""]",[]
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,bridge,hard,"hotpotqa_5a85b2d95542997b5ce40028_3,hotpotqa_5a85b2d95542997b5ce40028_7","[""Eenasul Fateh"", ""Management consulting""]",[]
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated",bridge,hard,"hotpotqa_5a87ab905542996e4f3088c1_7,hotpotqa_5a87ab905542996e4f3088c1_5","[""Lewiston Maineiacs"", ""Androscoggin Bank Colis\u00e9e""]",[]
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,bridge,hard,"hotpotqa_5a7bbb64554299042af8f7cc_0,hotpotqa_5a7bbb64554299042af8f7cc_2","[""Annie Morton"", ""Terry Richardson""]",[]
5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,yes,comparison,hard,"hotpotqa_5a8db19d5542994ba4e3dd00_4,hotpotqa_5a8db19d5542994ba4e3dd00_6","[""Local H"", ""For Against""]",[]
