scope,dataset,model,method,k,rows,scored_rows,hit,recall,mrr,qrel_status,qrel_exists_fraction,duplicate_keys,missing_idx,empty_retrieval,short_rows,rows_without_gold,path,qrel_report
cache,barexam,gemma4-26b,rag_hyde,1,100,100,0.03,0.03,0.03,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,rag_hyde,2,100,100,0.06,0.06,0.045,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,rag_hyde,3,100,100,0.08,0.08,0.051666666666666666,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,rag_hyde,4,100,100,0.14,0.14,0.06666666666666667,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,rag_hyde,5,100,100,0.16,0.16,0.07066666666666667,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,rag_hyde,6,100,100,0.19,0.19,0.07566666666666666,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,rag_hyde,7,100,100,0.2,0.2,0.07709523809523809,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,rag_hyde,8,100,100,0.22,0.22,0.0795952380952381,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,rag_hyde,9,100,100,0.22,0.22,0.0795952380952381,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,rag_hyde,10,100,100,0.22,0.22,0.0795952380952381,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,snap_hyre,1,100,100,0.04,0.04,0.04,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,snap_hyre,2,100,100,0.06,0.06,0.05,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,snap_hyre,3,100,100,0.09,0.09,0.05999999999999999,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,snap_hyre,4,100,100,0.11,0.11,0.06499999999999999,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,snap_hyre,5,100,100,0.14,0.14,0.071,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,snap_hyre,6,100,100,0.15,0.15,0.07266666666666666,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,snap_hyre,7,100,100,0.17,0.17,0.07552380952380952,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,snap_hyre,8,100,100,0.2,0.2,0.07927380952380952,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,snap_hyre,9,100,100,0.21,0.21,0.08038492063492063,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,gemma4-26b,snap_hyre,10,100,100,0.23,0.23,0.08238492063492062,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,rag_simple,1,100,100,0.0,0.0,0.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,rag_simple,2,100,100,0.0,0.0,0.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,rag_simple,3,100,100,0.0,0.0,0.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,rag_simple,4,100,100,0.01,0.01,0.0025,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,rag_simple,5,100,100,0.02,0.02,0.0045000000000000005,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,rag_simple,6,100,100,0.02,0.02,0.0045000000000000005,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,rag_simple,7,100,100,0.02,0.02,0.0045000000000000005,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,rag_simple,8,100,100,0.02,0.02,0.0045000000000000005,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,rag_simple,9,100,100,0.02,0.02,0.0045000000000000005,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
