scope,dataset,model,method,k,rows,scored_rows,hit,recall,mrr,qrel_status,qrel_exists_fraction,duplicate_keys,missing_idx,empty_retrieval,short_rows,rows_without_gold,path,qrel_report
cache,barexam,model_invariant,golden_plus_neighbors,1,100,100,1.0,1.0,1.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_golden_neighbors_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,golden_plus_neighbors,3,100,100,1.0,1.0,1.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_golden_neighbors_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,golden_plus_neighbors,5,100,100,1.0,1.0,1.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_golden_neighbors_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,golden_plus_neighbors,10,100,100,1.0,1.0,1.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_golden_neighbors_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,rag_simple,1,100,100,0.0,0.0,0.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,rag_simple,3,100,100,0.0,0.0,0.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,rag_simple,5,100,100,0.02,0.02,0.0045000000000000005,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,barexam,model_invariant,rag_simple,10,100,100,0.02,0.02,0.0045000000000000005,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/barexam_q100_seed42_raw_question_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_barexam.txt
cache,casehold,model_invariant,golden_plus_neighbors,1,100,100,1.0,1.0,1.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/casehold_q100_seed42_golden_neighbors_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_casehold.txt
cache,casehold,model_invariant,golden_plus_neighbors,3,100,100,1.0,1.0,1.0,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/casehold_q100_seed42_golden_neighbors_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_casehold.txt
