dataset,provider,mode,correct,total,accuracy,hit5,mrr5,detail_log,signoff
BarExamQA,groq-llama70b,golden_passage,946,1195,0.792000,,,logs/eval_golden_passage_groq-llama70b_20260515_210741_barexam_local-snap-hyre-groq-llama70b-barexam-golden_passage-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY-CAVEAT
BarExamQA,groq-llama70b,golden_plus_neighbors,930,1195,0.778000,1.000000,1.000000,logs/eval_golden_plus_neighbors_groq-llama70b_20260515_202827_barexam_local-snap-hyre-groq-llama70b-barexam-golden_plus_neighbors-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY-CAVEAT
BarExamQA,groq-llama70b,llm_only,940,1195,0.787000,,,logs/eval_llm_only_groq-llama70b_20260515_191548_barexam_local-snap-hyre-groq-llama70b-barexam-llm_only-nfull-k5_detail.jsonl,COMPREHENSIVE-CLEAN
BarExamQA,groq-llama70b,rag_hyde,958,1195,0.802000,0.104600,,logs/eval_rag_hyde_groq-llama70b_20260515_222654_barexam_local-snap-hyre-groq-llama70b-barexam-rag_hyde-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY-CAVEAT
BarExamQA,groq-llama70b,rag_rewrite,923,1195,0.772000,0.122200,0.056500,logs/eval_rag_rewrite_groq-llama70b_20260515_234357_barexam_local-snap-hyre-groq-llama70b-barexam-rag_rewrite-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/REPAIR-CAVEAT
BarExamQA,groq-llama70b,rag_simple,891,1195,0.746000,0.014200,0.006800,logs/eval_rag_simple_groq-llama70b_20260515_194919_barexam_local-snap-hyre-groq-llama70b-barexam-rag_simple-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY-CAVEAT
BarExamQA,groq-llama70b,snap_hyre,953,1195,0.797000,0.110500,,logs/eval_snap_hyre_groq-llama70b_20260515_230504_barexam_local-snap-hyre-groq-llama70b-barexam-snap_hyre-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY-CAVEAT
BarExamQA,groq-llama8b,golden_passage,717,1195,0.600000,1.000000,1.000000,logs/eval_golden_passage_groq-llama8b_20260518_213011_barexam_local-snap-hyre-groq-llama8b-barexam-golden_passage-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP-CAVEAT
BarExamQA,groq-llama8b,golden_plus_neighbors,738,1195,0.618000,1.000000,1.000000,logs/eval_golden_plus_neighbors_groq-llama8b_20260518_215012_barexam_local-snap-hyre-groq-llama8b-barexam-golden_plus_neighbors-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP-CAVEAT
BarExamQA,groq-llama8b,llm_only,685,1195,0.573000,,,logs/eval_llm_only_groq-llama8b_20260518_205159_barexam_local-snap-hyre-groq-llama8b-barexam-llm_only-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP-CAVEAT
BarExamQA,groq-llama8b,rag_hyde,670,1195,0.561000,0.082800,0.045200,logs/eval_rag_hyde_groq-llama8b_20260518_225428_barexam_local-snap-hyre-groq-llama8b-barexam-rag_hyde-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP-CAVEAT
BarExamQA,groq-llama8b,rag_rewrite,685,1195,0.573000,0.087900,0.046900,logs/eval_rag_rewrite_groq-llama8b_20260518_233753_barexam_local-snap-hyre-groq-llama8b-barexam-rag_rewrite-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP-CAVEAT
BarExamQA,groq-llama8b,rag_simple,651,1195,0.545000,0.014200,0.006800,logs/eval_rag_simple_groq-llama8b_20260518_211000_barexam_local-snap-hyre-groq-llama8b-barexam-rag_simple-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP-CAVEAT
BarExamQA,groq-llama8b,snap_hyre,680,1195,0.569000,0.095400,0.046900,logs/eval_snap_hyre_groq-llama8b_20260518_231747_barexam_local-snap-hyre-groq-llama8b-barexam-snap_hyre-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP-CAVEAT
BarExamQA,or-gemma4-26b,golden_passage,939,1195,0.786000,,,logs/eval_golden_passage_or-gemma4-26b_20260516_200935_barexam_local-snap-hyre-or-gemma4-26b-barexam-golden_passage-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP-CAVEAT
BarExamQA,or-gemma4-26b,golden_plus_neighbors,964,1195,0.807000,1.000000,1.000000,logs/eval_golden_plus_neighbors_or-gemma4-26b_20260516_233647_barexam_local-snap-hyre-or-gemma4-26b-barexam-golden_plus_neighbors-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP-CAVEAT
BarExamQA,or-gemma4-26b,llm_only,966,1195,0.808000,,,logs/merged/eval_llm_only_or-gemma4-26b_cloudflare_tail_20260516_barexam_nfull_k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/SAME-MODEL-ROUTE-CAVEAT
BarExamQA,or-gemma4-26b,rag_hyde,959,1195,0.803000,0.113800,0.054200,logs/eval_rag_hyde_or-gemma4-26b_20260517_040742_barexam_local-snap-hyre-or-gemma4-26b-barexam-rag_hyde-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP-CAVEAT
BarExamQA,or-gemma4-26b,rag_rewrite,964,1195,0.807000,0.122200,0.060400,logs/eval_rag_rewrite_or-gemma4-26b_20260517_124940_barexam_local-snap-hyre-or-gemma4-26b-barexam-rag_rewrite-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP/TRANSIENT-CAVEAT
BarExamQA,or-gemma4-26b,rag_simple,932,1195,0.780000,0.014200,0.006800,logs/eval_rag_simple_or-gemma4-26b_20260516_164128_barexam_local-snap-hyre-or-gemma4-26b-barexam-rag_simple-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY-CAVEAT
BarExamQA,or-gemma4-26b,snap_hyre,980,1195,0.820000,0.120500,0.060200,logs/eval_snap_hyre_or-gemma4-26b_20260517_091147_barexam_local-snap-hyre-or-gemma4-26b-barexam-snap_hyre-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY/NEAR-CAP/TRANSIENT/ONE-ARTIFACT-CAVEAT
HousingQA,groq-llama70b,golden_passage,4611,6853,0.673000,1.000000,1.000000,logs/eval_golden_passage_groq-llama70b_20260518_061249_housing_local-snap-hyre-groq-llama70b-housing-golden_passage-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY-CAVEAT
HousingQA,groq-llama70b,golden_plus_neighbors,4524,6853,0.660000,1.000000,1.000000,logs/eval_golden_plus_neighbors_groq-llama70b_20260518_033525_housing_local-snap-hyre-groq-llama70b-housing-golden_plus_neighbors-nfull-k5_detail.jsonl,COMPREHENSIVE-CITE-WITH-RETRY-CAVEAT
HousingQA,groq-llama70b,llm_only,3067,6853,0.448000,,,logs/eval_llm_only_groq-llama70b_20260516_203552_housing_local-snap-hyre-groq-llama70b-housing-llm_only-nfull-k5_detail.jsonl,COMPREHENSIVE-CLEAN
