path,rows,rows_with_gold,dataset,query_type,label_prefix,hit@1,mrr@1,hit@3,mrr@3,hit@5,mrr@5,hit@10,mrr@10
caches/retrieval/full/barexam_qfull_seed42_groq-llama70b_rag_hyde_k10.jsonl,1195,1195,barexam,hyde_cache,hyde,0.025941,0.025941,0.065272,0.042678,0.104603,0.051548,0.175732,0.060854
caches/retrieval/full/barexam_qfull_seed42_groq-llama70b_snap_hyre_k10.jsonl,1195,1195,barexam,hyre_cache,snap_hyre,0.030126,0.030126,0.071967,0.047699,0.110460,0.056402,0.184937,0.066260
caches/retrieval/full/barexam_qfull_seed42_groq-llama8b_rag_hyde_k10.jsonl,1195,1195,barexam,hyde_cache,hyde,0.027615,0.027615,0.055230,0.039191,0.082845,0.045216,0.134728,0.051748
caches/retrieval/full/barexam_qfull_seed42_groq-llama8b_snap_hyre_k10.jsonl,1195,1195,barexam,hyre_cache,snap_hyre,0.022594,0.022594,0.062762,0.039470,0.095397,0.046918,0.148117,0.053771
caches/retrieval/full/barexam_qfull_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,1195,1195,barexam,hyde_cache,hyde,0.025105,0.025105,0.071130,0.044351,0.113808,0.054226,0.190795,0.064316
caches/retrieval/full/barexam_qfull_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,1195,1195,barexam,hyre_cache,snap_hyre,0.031799,0.031799,0.079498,0.050907,0.120502,0.060195,0.186611,0.069052
caches/retrieval/full/barexam_qfull_seed42_raw_question_k10.jsonl,1195,1195,barexam,raw_question,simple,0.003347,0.003347,0.009205,0.005718,0.014226,0.006764,0.021757,0.007737
caches/retrieval/full/housing_qfull_seed42_raw_question_k10.jsonl,6853,6853,housing,raw_question,simple,0.007880,0.007880,0.019408,0.012792,0.028163,0.014770,0.051073,0.017769
caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama70b_rag_hyde_k10.jsonl,6853,6853,housing,hyde_cache,hyde,0.157157,0.157157,0.278564,0.209811,0.349482,0.225979,0.425653,0.236186
caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama70b_snap_hyre_k10.jsonl,6853,6853,housing,hyre_cache,snap_hyre,0.093098,0.093098,0.181089,0.131086,0.231140,0.142694,0.313002,0.153464
caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama8b_rag_hyde_k10.jsonl,6853,6853,housing,hyde_cache,hyde,0.111630,0.111630,0.215526,0.156355,0.269517,0.168751,0.344958,0.178745
caches/retrieval/full/housing_qfull_seed42_statefilter_groq-llama8b_snap_hyre_k10.jsonl,6853,6853,housing,hyre_cache,snap_hyre,0.129432,0.129432,0.233620,0.174717,0.295637,0.188835,0.369619,0.198629
caches/retrieval/full/housing_qfull_seed42_statefilter_or-gemma4-26b_rag_hyde_k10.jsonl,6853,6853,housing,hyde_cache,hyde,0.135415,0.135415,0.243397,0.182061,0.306289,0.196391,0.401284,0.209010
caches/retrieval/full/housing_qfull_seed42_statefilter_or-gemma4-26b_snap_hyre_k10.jsonl,6853,6853,housing,hyre_cache,snap_hyre,0.166059,0.166059,0.311105,0.229364,0.380709,0.245168,0.469575,0.257168
caches/retrieval/full/housing_qfull_seed42_statefilter_raw_question_k10.jsonl,6853,6853,housing,raw_question,simple,0.155115,0.155115,0.295345,0.216061,0.369473,0.232973,0.481103,0.247986
caches/retrieval/probes/barexam_q500_seed42_or-gemma4-26b_snap_hyre_exemplar_realpassage_k10.jsonl,500,500,barexam,hyre_cache,snap_hyre_exemplar,0.018000,0.018000,0.100000,0.054333,0.136000,0.062833,0.200000,0.071451
caches/retrieval/probes/barexam_q500_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,500,500,barexam,hyre_cache,snap_hyre,0.034000,0.034000,0.088000,0.055000,0.130000,0.064400,0.182000,0.071248
caches/retrieval/probes/barexam_q500_seed42_raw_question_k10.jsonl,500,500,barexam,raw_question,raw_question,0.004000,0.004000,0.012000,0.007333,0.016000,0.008233,0.028000,0.009725
caches/retrieval/probes/housing_q500_seed42_statefilter_or-gemma4-26b_snap_hyre_exemplar_realpassage_k10.jsonl,500,500,housing,hyre_cache,snap_hyre_exemplar,0.184000,0.184000,0.324000,0.245000,0.412000,0.264700,0.496000,0.275987
caches/retrieval/probes/housing_q500_seed42_statefilter_or-gemma4-26b_snap_hyre_k10.jsonl,500,500,housing,hyre_cache,snap_hyre,0.164000,0.164000,0.300000,0.223667,0.382000,0.242867,0.456000,0.252827
