dataset,provider,model,mode,n,k,hit,mrr,source_path
BarExamQA,shared,Shared,rag_simple,1195,1,0.003347,0.003347,caches/retrieval/full/barexam_qfull_seed42_raw_question_k10.jsonl
BarExamQA,shared,Shared,rag_simple,1195,3,0.009205,0.005718,caches/retrieval/full/barexam_qfull_seed42_raw_question_k10.jsonl
BarExamQA,shared,Shared,rag_simple,1195,5,0.014226,0.006764,caches/retrieval/full/barexam_qfull_seed42_raw_question_k10.jsonl
BarExamQA,shared,Shared,rag_simple,1195,10,0.021757,0.007737,caches/retrieval/full/barexam_qfull_seed42_raw_question_k10.jsonl
BarExamQA,groq-llama8b,Llama 3.1 8B,rag_hyde,1195,1,0.027615,0.027615,caches/retrieval/full/barexam_qfull_seed42_groq-llama8b_rag_hyde_k10.jsonl
BarExamQA,groq-llama8b,Llama 3.1 8B,rag_hyde,1195,3,0.055230,0.039191,caches/retrieval/full/barexam_qfull_seed42_groq-llama8b_rag_hyde_k10.jsonl
BarExamQA,groq-llama8b,Llama 3.1 8B,rag_hyde,1195,5,0.082845,0.045216,caches/retrieval/full/barexam_qfull_seed42_groq-llama8b_rag_hyde_k10.jsonl
BarExamQA,groq-llama8b,Llama 3.1 8B,rag_hyde,1195,10,0.134728,0.051748,caches/retrieval/full/barexam_qfull_seed42_groq-llama8b_rag_hyde_k10.jsonl
BarExamQA,groq-llama8b,Llama 3.1 8B,snap_hyre,1195,1,0.022594,0.022594,caches/retrieval/full/barexam_qfull_seed42_groq-llama8b_snap_hyre_k10.jsonl
BarExamQA,groq-llama8b,Llama 3.1 8B,snap_hyre,1195,3,0.062762,0.039470,caches/retrieval/full/barexam_qfull_seed42_groq-llama8b_snap_hyre_k10.jsonl
BarExamQA,groq-llama8b,Llama 3.1 8B,snap_hyre,1195,5,0.095397,0.046918,caches/retrieval/full/barexam_qfull_seed42_groq-llama8b_snap_hyre_k10.jsonl
