join_key,dataset,provider,subject,answer_format,question_chars,question_tokens,intermediate_chars,choice_count,avg_choice_chars,max_choice_chars,max_choice_jaccard,avg_choice_question_overlap,named_entity_count,date_number_count,legal_term_count,multi_hop_cue_count,top1_correct,top1_calls,top1_latency_sec,top1_input_tokens,top1_output_tokens,top1_gold_retrieved,top1_evidence_count,top1_max_ce_score,top1_parse_ok,top1_ce_top1,top1_ce_top2,top1_ce_top5,top1_ce_top1_top2_margin,top1_ce_top1_top5_margin,top1_ce_score_entropy,top1_unique_source_count,top1_source_diversity,top1_retrieved_chars,top1_question_evidence_overlap,top1_choice_evidence_overlap_max,top1_choice_evidence_overlap_margin,top1_gold_rank,top1_top1_state_match,top1_any_state_match,top1_all_state_match,top1_state_match_frac,top1_unique_retrieved_states,top1_state_diversity,top5_correct,top5_calls,top5_latency_sec,top5_input_tokens,top5_output_tokens,top5_gold_retrieved,top5_evidence_count,top5_max_ce_score,top5_parse_ok,top5_ce_top1,top5_ce_top2,top5_ce_top5,top5_ce_top1_top2_margin,top5_ce_top1_top5_margin,top5_ce_score_entropy,top5_unique_source_count,top5_source_diversity,top5_retrieved_chars,top5_question_evidence_overlap,top5_choice_evidence_overlap_max,top5_choice_evidence_overlap_margin,top5_gold_rank,top5_top1_state_match,top5_any_state_match,top5_all_state_match,top5_state_match_frac,top5_unique_retrieved_states,top5_state_diversity,top10_correct,top10_calls,top10_latency_sec,top10_input_tokens,top10_output_tokens,top10_gold_retrieved,top10_evidence_count,top10_max_ce_score,top10_parse_ok,top10_ce_top1,top10_ce_top2,top10_ce_top5,top10_ce_top1_top2_margin,top10_ce_top1_top5_margin,top10_ce_score_entropy,top10_unique_source_count,top10_source_diversity,top10_retrieved_chars,top10_question_evidence_overlap,top10_choice_evidence_overlap_max,top10_choice_evidence_overlap_margin,top10_gold_rank,top10_top1_state_match,top10_any_state_match,top10_all_state_match,top10_state_match_frac,top10_unique_retrieved_states,top10_state_diversity,two_call_correct,two_call_calls,two_call_latency_sec,two_call_input_tokens,two_call_output_tokens,two_call_gold_retrieved,two_call_evidence_count,two_call_max_ce_score,two_call_parse_ok,two_call_ce_top1,two_call_ce_top2,two_call_ce_top5,two_call_ce_top1_top2_margin,two_call_ce_top1_top5_margin,two_call_ce_score_entropy,two_call_unique_source_count,two_call_source_diversity,two_call_retrieved_chars,two_call_question_evidence_overlap,two_call_choice_evidence_overlap_max,two_call_choice_evidence_overlap_margin,two_call_gold_rank,two_call_top1_state_match,two_call_any_state_match,two_call_all_state_match,two_call_state_match_frac,two_call_unique_retrieved_states,two_call_state_diversity,oracle_accuracy_arm,oracle_reward_arm,oracle_any_correct,oracle_correct_count
1003,housing,or-gemma4-26b,Florida,yes_no,73,11,0,0,0.0,0,0.0,0.0,1,0,3,0,1,1.0,3.9,271,264,0,1,6.912498,,6.912498,0.0,0.0,6.912498,6.912498,0.0,1,1.0,699,0.5,0.0,0.0,0,0,0,0,0.0,1,1.0,1,1.0,4.3,1497,347,0,5,6.912499,,6.912499,4.364842,3.128019,2.547657,3.784481,0.365611,1,0.2,6193,0.75,0.0,0.0,0,0,0,0,0.0,5,1.0,1,1.0,7.8,2403,235,0,10,6.912501,,6.912501,4.736035,3.843125,2.176466,3.069377,0.554235,1,0.1,10307,0.75,0.0,0.0,0,0,0,0,0.0,7,0.7,1,2.0,6.2,2218,494,0,5,5.179142,1,5.179142,4.706269,4.274718,0.472872,0.904423,0.967916,1,0.2,8891,0.473684,0.0,0.0,0,0,0,0,0.0,4,0.8,top1,top1,1,4
1051,housing,or-gemma4-26b,Hawaii,yes_no,290,47,0,0,0.0,0,0.0,0.0,2,0,2,0,0,1.0,8.0,315,366,0,1,4.081405,,4.081405,0.0,0.0,4.081405,4.081405,0.0,1,1.0,699,0.46875,0.0,0.0,0,0,0,0,0.0,1,1.0,0,1.0,6.5,3193,444,0,5,4.081406,,4.081406,3.887963,2.146357,0.193443,1.935049,0.83583,1,0.2,13925,0.90625,0.0,0.0,0,0,0,0,0.0,4,0.8,0,1.0,10.3,13537,617,0,10,4.081406,,4.081406,3.887964,2.188146,0.193442,1.893259,0.814576,1,0.1,63255,0.90625,0.0,0.0,0,0,0,0,0.0,6,0.6,0,2.0,79.9,3819,736,0,5,8.621244,1,8.621244,8.265247,7.887226,0.355997,0.734019,0.979478,1,0.2,15699,0.634146,0.0,0.0,0,0,0,0,0.0,4,0.8,top5,top5,0,0
1075,housing,or-gemma4-26b,Idaho,yes_no,86,15,0,0,0.0,0,0.0,0.0,1,0,2,1,1,1.0,2.1,463,224,0,1,7.859097,,7.859097,0.0,0.0,7.859097,7.859097,0.0,1,1.0,1589,0.615385,0.0,0.0,0,0,0,0,0.0,1,1.0,1,1.0,5.2,990,289,0,5,7.859097,,7.859097,7.004458,6.728006,0.854639,1.131091,0.928603,1,0.2,4019,0.692308,0.0,0.0,0,0,0,0,0.0,4,0.8,1,1.0,8.9,2265,334,0,10,7.859097,,7.859097,7.004459,6.728005,0.854637,1.131091,0.944015,1,0.1,9490,0.692308,0.0,0.0,0,0,0,0,0.0,9,0.9,1,2.0,8.0,1533,504,0,5,6.807087,1,6.807087,6.674704,6.199716,0.132384,0.607372,0.979804,1,0.2,4749,0.5,0.0,0.0,0,0,0,0,0.0,4,0.8,top1,top1,1,4
108,housing,or-gemma4-26b,Idaho,yes_no,91,14,0,0,0.0,0,0.0,0.0,1,0,1,0,0,1.0,7.3,129,404,0,1,-1.166184,,-1.166184,0.0,0.0,-1.166184,-1.166184,0.0,1,1.0,124,0.181818,0.0,0.0,0,0,0,0,0.0,1,1.0,1,1.0,2.9,828,402,0,5,-0.638356,,-0.638356,-1.166186,-2.97465,0.52783,2.336294,0.758761,1,0.2,3180,0.454545,0.0,0.0,0,0,0,0,0.0,4,0.8,1,1.0,11.0,1808,600,0,10,1.284008,,1.284008,-0.638354,-2.037529,1.922362,3.321538,0.480775,1,0.1,7514,0.636364,0.0,0.0,0,0,0,0,0.0,9,0.9,1,2.0,14.5,2020,814,0,5,2.318192,1,2.318192,1.951592,0.35118,0.3666,1.967011,0.840213,1,0.2,6686,0.428571,0.0,0.0,0,1,1,0,0.6,3,0.6,top5,top5,1,3
1083,housing,or-gemma4-26b,Idaho,yes_no,500,85,0,0,0.0,0,0.0,0.0,2,0,6,0,0,1.0,9.3,306,422,0,1,4.641204,,4.641204,0.0,0.0,4.641204,4.641204,0.0,1,1.0,578,0.25,0.0,0.0,0,0,0,0,0.0,1,1.0,0,1.0,9.0,3775,377,0,5,5.012552,,5.012552,4.641205,1.35067,0.371347,3.661882,0.722509,1,0.2,16610,0.708333,0.0,0.0,0,0,0,0,0.0,5,1.0,0,1.0,6.6,6595,393,0,10,5.01255,,5.01255,4.641204,2.380126,0.371346,2.632423,0.696527,1,0.1,29497,0.791667,0.0,0.0,0,0,0,0,0.0,8,0.8,0,2.0,10.6,2099,514,0,5,5.107369,1,5.107369,4.579428,4.443482,0.527942,0.663887,0.977145,1,0.2,7826,0.508772,0.0,0.0,0,0,0,0,0.0,3,0.6,top10,top10,0,0
1120,housing,or-gemma4-26b,Indiana,yes_no,68,12,0,0,0.0,0,0.0,0.0,1,0,2,0,0,1.0,14.3,191,538,0,1,6.744672,,6.744672,0.0,0.0,6.744672,6.744672,0.0,1,1.0,372,0.4,0.0,0.0,0,0,0,0,0.0,1,1.0,1,1.0,2.5,2312,398,0,5,6.744673,,6.744673,3.79121,2.764317,2.953463,3.980356,0.330614,1,0.2,10163,0.8,0.0,0.0,0,0,0,0,0.0,4,0.8,1,1.0,11.6,3967,843,0,10,6.744673,,6.744673,3.791208,2.764317,2.953465,3.980356,0.309961,1,0.1,17628,1.0,0.0,0.0,0,0,0,0,0.0,9,0.9,0,2.0,12.1,1121,847,0,5,5.323847,1,5.323847,5.17803,4.911854,0.145817,0.411993,0.993003,1,0.2,3465,0.47619,0.0,0.0,0,0,0,0,0.0,5,1.0,top5,top5,1,2
1228,housing,or-gemma4-26b,Maryland,yes_no,90,17,0,0,0.0,0,0.0,0.0,1,0,3,0,0,1.0,5.6,272,267,0,1,8.449971,,8.449971,0.0,0.0,8.449971,8.449971,0.0,1,1.0,761,0.833333,0.0,0.0,0,0,0,0,0.0,1,1.0,0,1.0,7.7,790,377,0,5,8.449973,,8.449973,7.396142,7.203489,1.053831,1.246484,0.903825,1,0.2,2848,0.833333,0.0,0.0,0,0,0,0,0.0,4,0.8,0,1.0,10.0,1628,404,0,10,8.449972,,8.449972,7.800436,7.281234,0.649536,1.168738,0.941021,1,0.1,6674,0.833333,0.0,0.0,0,0,0,0,0.0,7,0.7,0,2.0,8.5,1759,896,0,5,6.442266,1,6.442266,5.616918,5.213519,0.825347,1.228746,0.936654,1,0.2,6299,0.521739,0.0,0.0,0,0,0,0,0.0,5,1.0,top1,top1,0,0
1229,housing,or-gemma4-26b,Maryland,yes_no,329,52,0,0,0.0,0,0.0,0.0,2,0,3,0,0,1.0,5.6,247,284,0,1,2.176425,,2.176425,0.0,0.0,2.176425,2.176425,0.0,1,1.0,408,0.314286,0.0,0.0,0,0,0,0,0.0,1,1.0,0,1.0,10.1,3003,607,0,5,2.235508,,2.235508,2.176425,1.909863,0.059083,0.325646,0.996336,1,0.2,12698,0.742857,0.0,0.0,0,0,0,0,0.0,5,1.0,0,1.0,12.9,4789,886,0,10,2.235507,,2.235507,2.176423,1.909862,0.059083,0.325645,0.942708,1,0.1,19455,0.8,0.0,0.0,0,0,0,0,0.0,8,0.8,0,2.0,23.6,2604,626,0,5,6.137941,1,6.137941,4.402645,2.981524,1.735297,3.156417,0.551242,1,0.2,9504,0.555556,0.0,0.0,0,0,0,0,0.0,3,0.6,top1,top1,0,0
1252,housing,or-gemma4-26b,Massachusetts,yes_no,104,19,0,0,0.0,0,0.0,0.0,1,0,3,0,0,1.0,44.2,283,235,0,1,6.556101,,6.556101,0.0,0.0,6.556101,6.556101,0.0,1,1.0,699,0.692308,0.0,0.0,0,0,0,0,0.0,1,1.0,0,1.0,1.7,769,258,0,5,7.789445,,7.789445,6.577672,5.161911,1.211773,2.627533,0.788413,1,0.2,3009,0.846154,0.0,0.0,0,0,0,0,0.0,5,1.0,0,1.0,13.5,1405,631,0,10,7.789445,,7.789445,6.577671,5.161911,1.211774,2.627534,0.714807,1,0.1,5838,0.846154,0.0,0.0,0,0,0,0,0.0,8,0.8,0,2.0,15.2,1187,1013,0,5,4.342808,1,4.342808,4.12637,3.59233,0.216438,0.750479,0.975209,1,0.2,3675,0.391304,0.0,0.0,0,0,0,0,0.0,4,0.8,top5,top5,0,0
1266,housing,or-gemma4-26b,Michigan,yes_no,90,17,0,0,0.0,0,0.0,0.0,1,0,3,0,0,1.0,4.4,272,285,0,1,8.449971,,8.449971,0.0,0.0,8.449971,8.449971,0.0,1,1.0,761,0.833333,0.0,0.0,0,0,0,0,0.0,1,1.0,0,1.0,3.0,790,385,0,5,8.449973,,8.449973,7.396142,7.203489,1.053831,1.246484,0.903825,1,0.2,2848,0.833333,0.0,0.0,0,0,0,0,0.0,4,0.8,0,1.0,7.1,1628,799,0,10,8.449972,,8.449972,7.800436,7.281234,0.649536,1.168738,0.941021,1,0.1,6674,0.833333,0.0,0.0,0,0,0,0,0.0,7,0.7,0,2.0,12.5,1638,633,0,5,6.565383,1,6.565383,5.993253,5.578211,0.57213,0.987172,0.954145,1,0.2,5734,0.434783,0.0,0.0,0,0,0,0,0.0,5,1.0,top5,top5,0,0
128,housing,or-gemma4-26b,Ohio,yes_no,91,14,0,0,0.0,0,0.0,0.0,1,0,1,0,0,1.0,10.5,129,348,0,1,-1.166184,,-1.166184,0.0,0.0,-1.166184,-1.166184,0.0,1,1.0,124,0.181818,0.0,0.0,0,0,0,0,0.0,1,1.0,1,1.0,9.2,828,742,0,5,-0.638356,,-0.638356,-1.166186,-2.97465,0.52783,2.336294,0.758761,1,0.2,3180,0.454545,0.0,0.0,0,0,0,0,0.0,4,0.8,0,1.0,8.5,1808,545,0,10,1.284008,,1.284008,-0.638354,-2.037529,1.922362,3.321538,0.480775,1,0.1,7514,0.636364,0.0,0.0,0,0,0,0,0.0,9,0.9,0,2.0,27.3,1626,1273,0,5,2.493771,1,2.493771,2.288783,1.352247,0.204988,1.141523,0.950193,1,0.2,4466,0.333333,0.0,0.0,0,0,0,0,0.0,4,0.8,top5,top5,1,1
1479,housing,or-gemma4-26b,North Carolina,yes_no,296,44,0,0,0.0,0,0.0,0.0,2,0,2,0,1,1.0,48.2,313,431,0,1,3.58881,,3.58881,0.0,0.0,3.58881,3.58881,0.0,1,1.0,699,0.235294,0.0,0.0,0,0,0,0,0.0,1,1.0,1,1.0,11.4,10420,640,0,5,3.58881,,3.58881,3.456534,3.136499,0.132276,0.452311,0.993709,1,0.2,48932,0.588235,0.0,0.0,0,0,0,0,0.0,2,0.4,1,1.0,7.0,12181,397,0,10,3.717545,,3.717545,3.588812,3.456535,0.128733,0.26101,0.959315,1,0.1,56992,0.794118,0.0,0.0,0,0,0,0,0.0,5,0.5,1,2.0,12.7,2558,685,0,5,2.621768,1,2.621768,2.537345,1.442505,0.084422,1.179262,0.911537,1,0.2,9479,0.644444,0.0,0.0,0,0,1,0,0.2,4,0.8,top10,top10,1,4
1483,housing,or-gemma4-26b,North Carolina,yes_no,259,49,0,0,0.0,0,0.0,0.0,2,0,3,0,0,1.0,15.6,440,430,0,1,1.6776,,1.6776,0.0,0.0,1.6776,1.6776,0.0,1,1.0,1300,0.419355,0.0,0.0,0,0,0,0,0.0,1,1.0,0,1.0,10.3,1312,438,0,5,4.79181,,4.79181,2.560453,1.70263,2.231356,3.089179,0.500004,1,0.2,4927,0.612903,0.0,0.0,0,0,0,0,0.0,5,1.0,0,1.0,11.6,2379,567,0,10,4.791809,,4.791809,3.365308,2.560454,1.426501,2.231355,0.720815,1,0.1,9430,0.774194,0.0,0.0,0,0,0,0,0.0,8,0.8,0,2.0,21.3,1694,766,1,5,3.755155,1,3.755155,2.731658,0.956619,1.023497,2.798536,0.742438,1,0.2,5516,0.560976,0.0,0.0,1,1,1,0,0.8,2,0.4,top5,top5,0,0
1484,housing,or-gemma4-26b,North Carolina,yes_no,76,14,0,0,0.0,0,0.0,0.0,1,0,2,0,0,1.0,3.9,227,303,0,1,5.822575,,5.822575,0.0,0.0,5.822575,5.822575,0.0,1,1.0,484,0.416667,0.0,0.0,0,0,0,0,0.0,1,1.0,0,1.0,3.4,868,446,0,5,5.822575,,5.822575,5.567362,5.372873,0.255213,0.449702,0.992869,1,0.2,3167,0.75,0.0,0.0,0,0,0,0,0.0,5,1.0,0,1.0,3.9,1520,477,0,10,5.822577,,5.822577,5.567366,5.415497,0.255211,0.40708,0.98491,1,0.1,5956,0.75,0.0,0.0,0,0,0,0,0.0,10,1.0,0,2.0,10.2,1607,659,0,5,4.82516,1,4.82516,4.793499,2.98098,0.031662,1.84418,0.880414,1,0.2,6159,0.478261,0.0,0.0,0,0,0,0,0.0,5,1.0,top5,top5,0,0
1629,housing,or-gemma4-26b,Rhode Island,yes_no,64,10,0,0,0.0,0,0.0,0.0,1,0,2,0,0,1.0,6.9,271,390,0,1,5.139025,,5.139025,0.0,0.0,5.139025,5.139025,0.0,1,1.0,699,0.5,0.0,0.0,0,0,0,0,0.0,1,1.0,0,1.0,8.5,944,501,0,5,5.139025,,5.139025,4.93872,0.527987,0.200305,4.611038,0.661467,1,0.2,3621,0.625,0.0,0.0,0,0,0,0,0.0,4,0.8,0,1.0,8.3,1668,370,0,10,5.139026,,5.139026,4.938718,3.132532,0.200308,2.006495,0.681309,1,0.1,6711,0.75,0.0,0.0,0,0,0,0,0.0,8,0.8,0,2.0,16.1,1801,575,0,5,5.036,1,5.036,2.341849,1.568483,2.69415,3.467517,0.389102,1,0.2,6692,0.55,0.0,0.0,0,0,0,0,0.0,5,1.0,top1,top1,0,0
