scope,dataset,model,method,k,rows,scored_rows,hit,recall,mrr,qrel_status,qrel_exists_fraction,duplicate_keys,missing_idx,empty_retrieval,short_rows,rows_without_gold,path,qrel_report
cache,legal_link_eu,gemma4-26b,rag_hyde,1,1127,1127,0.28660159716060335,0.0574977817213842,0.28660159716060335,alignment_missing,,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legal_link_eu_qfull_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,
cache,legal_link_eu,gemma4-26b,rag_hyde,3,1127,1127,0.43123336291038156,0.13944099378881988,0.35034013605442177,alignment_missing,,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legal_link_eu_qfull_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,
cache,legal_link_eu,gemma4-26b,rag_hyde,5,1127,1127,0.4897959183673469,0.18850931677018634,0.3637385388938184,alignment_missing,,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legal_link_eu_qfull_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,
cache,legal_link_eu,gemma4-26b,rag_hyde,10,1127,1127,0.5891748003549245,0.2580301685891748,0.37705067534260084,alignment_missing,,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legal_link_eu_qfull_seed42_or-gemma4-26b_rag_hyde_k10.jsonl,
cache,legal_link_eu,gemma4-26b,snap_hyre,1,1127,1127,0.46850044365572313,0.09383318544809229,0.46850044365572313,alignment_missing,,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legal_link_eu_qfull_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,
cache,legal_link_eu,gemma4-26b,snap_hyre,3,1127,1127,0.6149068322981367,0.2152617568766637,0.5328305235137534,alignment_missing,,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legal_link_eu_qfull_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,
cache,legal_link_eu,gemma4-26b,snap_hyre,5,1127,1127,0.678793256433008,0.28957409050576755,0.5472937000887311,alignment_missing,,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legal_link_eu_qfull_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,
cache,legal_link_eu,gemma4-26b,snap_hyre,10,1127,1127,0.7684117125110914,0.3826530612244898,0.5587657216095547,alignment_missing,,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legal_link_eu_qfull_seed42_or-gemma4-26b_snap_hyre_k10.jsonl,
macro,macro,macro,all_supplied_caches,1,2254,2254,0.37755102040816324,0.07566548358473824,0.37755102040816324,mixed,,0,0,0,0,0,,
macro,macro,macro,all_supplied_caches,3,2254,2254,0.5230700976042592,0.1773513753327418,0.4415853297840876,mixed,,0,0,0,0,0,,
macro,macro,macro,all_supplied_caches,5,2254,2254,0.5842945874001775,0.23904170363797694,0.4555161194912748,mixed,,0,0,0,0,0,,
macro,macro,macro,all_supplied_caches,10,2254,2254,0.6787932564330079,0.32034161490683233,0.4679081984760778,mixed,,0,0,0,0,0,,
