scope,dataset,model,method,k,rows,scored_rows,hit,recall,mrr,qrel_status,qrel_exists_fraction,duplicate_keys,missing_idx,empty_retrieval,short_rows,rows_without_gold,path,qrel_report
cache,legalbench_scalr,gemma4-26b,rag_hyde,1,50,50,0.58,0.58,0.58,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legalbench_scalr_gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_legalbench_scalr.txt
cache,legalbench_scalr,gemma4-26b,rag_hyde,3,50,50,0.7,0.7,0.6366666666666666,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legalbench_scalr_gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_legalbench_scalr.txt
cache,legalbench_scalr,gemma4-26b,rag_hyde,5,50,50,0.74,0.74,0.6446666666666667,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legalbench_scalr_gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_legalbench_scalr.txt
cache,legalbench_scalr,gemma4-26b,rag_hyde,10,50,50,0.84,0.84,0.6565000000000001,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legalbench_scalr_gemma4-26b_rag_hyde_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_legalbench_scalr.txt
cache,legalbench_scalr,gemma4-26b,snap_hyre,1,50,50,0.52,0.52,0.52,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legalbench_scalr_gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_legalbench_scalr.txt
cache,legalbench_scalr,gemma4-26b,snap_hyre,3,50,50,0.64,0.64,0.5733333333333334,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legalbench_scalr_gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_legalbench_scalr.txt
cache,legalbench_scalr,gemma4-26b,snap_hyre,5,50,50,0.68,0.68,0.5833333333333334,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legalbench_scalr_gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_legalbench_scalr.txt
cache,legalbench_scalr,gemma4-26b,snap_hyre,10,50,50,0.82,0.82,0.6017460317460318,aligned,1.0000,0,0,0,0,0,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/legalbench_scalr_gemma4-26b_snap_hyre_k10.jsonl,/home/techguy227/grad/LegalRagAgent/caches/retrieval/full/retrieval_id_alignment_legalbench_scalr.txt
macro,macro,macro,all_supplied_caches,1,100,100,0.55,0.55,0.55,mixed,,0,0,0,0,0,,
macro,macro,macro,all_supplied_caches,3,100,100,0.6699999999999999,0.6699999999999999,0.605,mixed,,0,0,0,0,0,,
macro,macro,macro,all_supplied_caches,5,100,100,0.71,0.71,0.6140000000000001,mixed,,0,0,0,0,0,,
macro,macro,macro,all_supplied_caches,10,100,100,0.83,0.83,0.6291230158730159,mixed,,0,0,0,0,0,,
