path,rows,correct,accuracy,errors,missing_prediction,avg_input_tokens,avg_output_tokens,avg_llm_calls,avg_elapsed_sec,first_dataset,first_idx
logs/eval_golden_passage_groq-llama70b_20260515_210741_barexam_local-snap-hyre-groq-llama70b-barexam-golden_passage-nfull-k5_detail.jsonl,1195,946,0.791632,0,0,510.7808,435.9916,1.0025,1.7049,barexam,mbe_0
logs/eval_golden_passage_groq-llama70b_20260518_061249_housing_local-snap-hyre-groq-llama70b-housing-golden_passage-nfull-k5_detail.jsonl,6853,4611,0.672844,0,0,1688.4618,188.5919,1.0026,1.1385,housing,0
logs/eval_golden_passage_groq-llama8b_20260518_213011_barexam_local-snap-hyre-groq-llama8b-barexam-golden_passage-nfull-k5_detail.jsonl,1195,717,0.600000,0,0,513.2619,387.2092,1.0126,0.9888,barexam,mbe_0
logs/eval_golden_passage_groq-llama8b_20260519_140614_housing_local-snap-hyre-groq-llama8b-housing-golden_passage-nfull-k5_detail.jsonl,6853,4408,0.643222,0,0,1693.6905,98.1846,1.0363,1.0739,housing,0
logs/eval_golden_passage_or-gemma4-26b_20260516_200935_barexam_local-snap-hyre-or-gemma4-26b-barexam-golden_passage-nfull-k5_detail.jsonl,1195,939,0.785774,0,0,511.3690,640.7590,1.0033,10.2075,barexam,mbe_0
logs/eval_golden_plus_neighbors_groq-llama70b_20260515_202827_barexam_local-snap-hyre-groq-llama70b-barexam-golden_plus_neighbors-nfull-k5_detail.jsonl,1195,930,0.778243,0,0,1468.7372,433.0167,1.0017,1.8490,barexam,mbe_0
logs/eval_golden_plus_neighbors_groq-llama8b_20260518_215012_barexam_local-snap-hyre-groq-llama8b-barexam-golden_plus_neighbors-nfull-k5_detail.jsonl,1195,738,0.617573,0,0,1471.6644,357.2703,1.0117,1.0550,barexam,mbe_0
logs/eval_golden_plus_neighbors_or-gemma4-26b_20260516_233647_barexam_local-snap-hyre-or-gemma4-26b-barexam-golden_plus_neighbors-nfull-k5_detail.jsonl,1195,964,0.806695,0,0,1470.3322,652.3498,1.0042,10.5141,barexam,mbe_0
logs/eval_llm_only_groq-llama70b_20260515_191548_barexam_local-snap-hyre-groq-llama70b-barexam-llm_only-nfull-k5_detail.jsonl,1195,940,0.786611,0,0,304.1322,374.9573,1.0000,1.5774,barexam,mbe_0
logs/eval_llm_only_groq-llama70b_20260516_203552_housing_local-snap-hyre-groq-llama70b-housing-llm_only-nfull-k5_detail.jsonl,6853,3067,0.447541,0,0,84.2444,184.2739,1.0000,0.9302,housing,0
logs/eval_llm_only_groq-llama8b_20260518_205159_barexam_local-snap-hyre-groq-llama8b-barexam-llm_only-nfull-k5_detail.jsonl,1195,685,0.573222,0,0,305.0042,339.0017,1.0075,0.8890,barexam,mbe_0
logs/eval_llm_only_groq-llama8b_20260519_082209_housing_local-snap-hyre-groq-llama8b-housing-llm_only-nfull-k5_detail.jsonl,6853,3795,0.553772,0,0,86.4386,186.8103,1.0238,1.0756,housing,0
logs/eval_rag_hyde_groq-llama70b_20260515_222654_barexam_local-snap-hyre-groq-llama70b-barexam-rag_hyde-nfull-k5_detail.jsonl,1195,958,0.801674,0,0,1330.2226,428.9515,1.0025,1.7940,barexam,mbe_0
logs/eval_rag_hyde_groq-llama70b_20260521_013539_housing_local-snap-hyre-groq-llama70b-housing-rag_hyde-nfull-k5_detail.jsonl,6853,4263,0.622063,0,0,2512.8660,270.3197,1.0003,1.3516,housing,0
logs/eval_rag_hyde_groq-llama8b_20260518_225428_barexam_local-snap-hyre-groq-llama8b-barexam-rag_hyde-nfull-k5_detail.jsonl,1195,670,0.560669,0,0,1293.5381,374.0251,1.0142,1.1454,barexam,mbe_0
logs/eval_rag_hyde_groq-llama8b_20260520_233346_housing_local-snap-hyre-groq-llama8b-housing-rag_hyde-nfull-k5_detail.jsonl,6853,4047,0.590544,0,0,2448.8398,331.9419,1.0210,0.9916,housing,0
logs/eval_rag_hyde_or-gemma4-26b_20260517_040742_barexam_local-snap-hyre-or-gemma4-26b-barexam-rag_hyde-nfull-k5_detail.jsonl,1195,959,0.802510,0,0,1293.9389,660.1808,1.0042,10.8338,barexam,mbe_0
logs/eval_rag_hyde_or-gemma4-26b_20260521_174454_housing_local-snap-hyre-or-gemma4-26b-housing-rag_hyde-nfull-k5_detail.jsonl,6853,4456,0.650226,0,0,2433.5233,493.6761,1.0009,6.6596,housing,0
logs/eval_rag_rewrite_groq-llama70b_20260515_234357_barexam_local-snap-hyre-groq-llama70b-barexam-rag_rewrite-nfull-k5_detail.jsonl,1195,923,0.772385,0,0,1893.1615,494.4954,2.0092,2.5017,barexam,mbe_0
logs/eval_rag_rewrite_groq-llama8b_20260518_233753_barexam_local-snap-hyre-groq-llama8b-barexam-rag_rewrite-nfull-k5_detail.jsonl,1195,685,0.573222,0,0,2007.4770,450.7967,2.0126,1.6705,barexam,mbe_0
logs/eval_rag_rewrite_or-gemma4-26b_20260517_124940_barexam_local-snap-hyre-or-gemma4-26b-barexam-rag_rewrite-nfull-k5_detail.jsonl,1195,964,0.806695,0,0,2006.1657,720.1063,2.0033,13.5972,barexam,mbe_0
logs/eval_rag_simple_groq-llama70b_20260515_194919_barexam_local-snap-hyre-groq-llama70b-barexam-rag_simple-nfull-k5_detail.jsonl,1195,891,0.745607,0,0,1086.5138,437.5690,1.0017,1.8306,barexam,mbe_0
logs/eval_rag_simple_groq-llama70b_20260520_230339_housing_local-snap-hyre-groq-llama70b-housing-rag_simple-nfull-k5_detail.jsonl,6853,4258,0.621334,0,0,2592.8259,278.3584,1.0000,1.3202,housing,0
logs/eval_rag_simple_groq-llama8b_20260518_211000_barexam_local-snap-hyre-groq-llama8b-barexam-rag_simple-nfull-k5_detail.jsonl,1195,651,0.544770,0,0,1090.0979,364.9908,1.0109,1.0066,barexam,mbe_0
logs/eval_rag_simple_groq-llama8b_20260520_132953_housing_local-snap-hyre-groq-llama8b-housing-rag_simple-nfull-k5_detail.jsonl,6853,4269,0.622939,0,0,2629.5739,323.8996,1.0179,1.0655,housing,0
logs/eval_rag_simple_or-gemma4-26b_20260516_164128_barexam_local-snap-hyre-or-gemma4-26b-barexam-rag_simple-nfull-k5_detail.jsonl,1195,932,0.779916,0,0,1086.5866,644.2100,1.0025,10.2185,barexam,mbe_0
