dataset,provider,mode,total,accuracy,avg_latency_sec,avg_llm_calls,input_per_question,output_per_question,detail_log
BarExamQA,groq-llama70b,golden_passage,1195,0.792000,1.7000,1.0000,510.78,435.99,logs/eval_golden_passage_groq-llama70b_20260515_210741_barexam_local-snap-hyre-groq-llama70b-barexam-golden_passage-nfull-k5_detail.jsonl
BarExamQA,groq-llama70b,golden_plus_neighbors,1195,0.778000,1.9000,1.0000,1468.74,433.02,logs/eval_golden_plus_neighbors_groq-llama70b_20260515_202827_barexam_local-snap-hyre-groq-llama70b-barexam-golden_plus_neighbors-nfull-k5_detail.jsonl
BarExamQA,groq-llama70b,llm_only,1195,0.787000,1.6000,1.0000,304.13,374.96,logs/eval_llm_only_groq-llama70b_20260515_191548_barexam_local-snap-hyre-groq-llama70b-barexam-llm_only-nfull-k5_detail.jsonl
BarExamQA,groq-llama70b,rag_hyde,1195,0.802000,1.8000,1.0000,1330.22,428.95,logs/eval_rag_hyde_groq-llama70b_20260515_222654_barexam_local-snap-hyre-groq-llama70b-barexam-rag_hyde-nfull-k5_detail.jsonl
BarExamQA,groq-llama70b,rag_rewrite,1195,0.772000,2.5000,2.0000,1893.16,494.50,logs/eval_rag_rewrite_groq-llama70b_20260515_234357_barexam_local-snap-hyre-groq-llama70b-barexam-rag_rewrite-nfull-k5_detail.jsonl
BarExamQA,groq-llama70b,rag_simple,1195,0.746000,1.8000,1.0000,1086.51,437.57,logs/eval_rag_simple_groq-llama70b_20260515_194919_barexam_local-snap-hyre-groq-llama70b-barexam-rag_simple-nfull-k5_detail.jsonl
BarExamQA,groq-llama70b,snap_hyre,1195,0.797000,1.8000,1.0000,1300.77,429.98,logs/eval_snap_hyre_groq-llama70b_20260515_230504_barexam_local-snap-hyre-groq-llama70b-barexam-snap_hyre-nfull-k5_detail.jsonl
BarExamQA,groq-llama8b,golden_passage,1195,0.600000,1.0000,1.0000,513.26,387.21,logs/eval_golden_passage_groq-llama8b_20260518_213011_barexam_local-snap-hyre-groq-llama8b-barexam-golden_passage-nfull-k5_detail.jsonl
BarExamQA,groq-llama8b,golden_plus_neighbors,1195,0.618000,1.1000,1.0000,1471.66,357.27,logs/eval_golden_plus_neighbors_groq-llama8b_20260518_215012_barexam_local-snap-hyre-groq-llama8b-barexam-golden_plus_neighbors-nfull-k5_detail.jsonl
BarExamQA,groq-llama8b,llm_only,1195,0.573000,0.9000,1.0000,305.00,339.00,logs/eval_llm_only_groq-llama8b_20260518_205159_barexam_local-snap-hyre-groq-llama8b-barexam-llm_only-nfull-k5_detail.jsonl
BarExamQA,groq-llama8b,rag_hyde,1195,0.561000,1.1000,1.0000,1293.54,374.03,logs/eval_rag_hyde_groq-llama8b_20260518_225428_barexam_local-snap-hyre-groq-llama8b-barexam-rag_hyde-nfull-k5_detail.jsonl
BarExamQA,groq-llama8b,rag_rewrite,1195,0.573000,1.7000,2.0000,2007.48,450.80,logs/eval_rag_rewrite_groq-llama8b_20260518_233753_barexam_local-snap-hyre-groq-llama8b-barexam-rag_rewrite-nfull-k5_detail.jsonl
BarExamQA,groq-llama8b,rag_simple,1195,0.545000,1.0000,1.0000,1090.10,364.99,logs/eval_rag_simple_groq-llama8b_20260518_211000_barexam_local-snap-hyre-groq-llama8b-barexam-rag_simple-nfull-k5_detail.jsonl
BarExamQA,groq-llama8b,snap_hyre,1195,0.569000,1.0000,1.0000,1259.13,356.23,logs/eval_snap_hyre_groq-llama8b_20260518_231747_barexam_local-snap-hyre-groq-llama8b-barexam-snap_hyre-nfull-k5_detail.jsonl
BarExamQA,or-gemma4-26b,golden_passage,1195,0.786000,10.2000,1.0000,511.37,640.76,logs/eval_golden_passage_or-gemma4-26b_20260516_200935_barexam_local-snap-hyre-or-gemma4-26b-barexam-golden_passage-nfull-k5_detail.jsonl
